,popularity
105269,39
171332,47
137838,37
115882,35
113852,14
30510,40
95154,0
55452,62
2086,0
77552,0
29634,44
70066,42
35012,58
53842,51
20468,0
162257,10
29966,49
54556,57
94280,0
151404,25
10883,64
136989,30
40967,0
107162,0
154110,36
164933,26
152528,38
81971,17
19890,88
108774,57
69271,40
1069,16
75262,60
83259,36
127911,3
150239,26
163151,18
78017,0
173122,0
116827,26
70149,39
97659,9
93035,0
108091,0
147252,7
43573,0
37862,68
100283,26
125832,0
7816,44
130105,5
95444,0
1389,0
59301,0
76606,0
44017,3
172589,50
57909,19
62080,2
40266,0
146427,13
4597,0
52640,38
92230,55
21516,0
158490,0
87119,34
135401,36
76480,73
127073,0
127121,0
60559,0
140442,0
126920,0
22342,0
89288,44
173627,69
1538,10
49129,43
107045,0
93352,63
77141,0
58743,0
154402,32
95954,0
68343,35
14125,65
150919,31
88346,41
106105,35
107067,2
23962,0
167098,38
153681,37
118175,26
14237,52
46345,24
103165,36
57569,5
54661,49
9019,42
154086,31
169007,33
156194,0
60728,0
61375,0
163790,20
18114,69
37181,0
166725,31
144564,0
109128,62
145593,0
140604,0
57270,67
12783,50
61027,0
149746,20
16341,70
121961,40
57647,16
170829,0
38979,13
60134,0
164267,20
100564,33
52972,41
89765,42
73883,0
50330,41
17024,62
166180,23
165213,26
130821,9
24833,0
77778,0
89372,39
124101,51
166732,27
143455,0
84710,30
122536,0
107482,50
23209,0
71444,60
167853,28
157197,51
76238,75
75344,61
134957,22
61545,0
149458,29
159311,0
5298,18
165941,24
160948,0
10922,55
81446,19
5309,12
145376,0
87487,43
122557,44
133050,26
143640,0
145395,0
159737,0
128246,1
156661,48
17113,24
110271,1
132538,21
155349,40
157501,54
92751,1
27614,33
20084,76
137538,37
157577,57
4851,0
170744,41
148432,17
92302,55
163021,16
82693,23
83875,25
110245,1
10256,44
159913,0
11109,56
124994,3
61694,0
88070,38
145408,0
127929,0
156031,62
97856,14
73507,2
130905,9
64782,21
104385,46
173905,64
100602,26
30572,43
6738,31
123718,50
159559,0
66166,43
160148,0
126504,5
137266,34
96113,0
129691,0
30713,44
75005,0
144276,0
82692,19
128952,0
127374,0
37910,72
110999,0
64423,21
116341,24
57308,76
63979,21
107973,0
153607,42
18542,68
159358,0
112942,0
96374,0
115759,31
171279,0
61116,0
159536,0
122450,35
129564,0
57340,68
112535,0
79319,0
18104,70
149402,32
27264,29
60440,0
137547,31
28352,48
120187,27
160921,2
93646,71
13538,56
169854,37
60634,0
109348,60
89,1
105743,46
6367,14
32726,46
43965,0
11032,48
46186,28
49013,34
131103,15
70978,59
103392,47
77726,0
99879,20
85232,31
53138,53
86815,41
100460,27
142502,0
7443,33
167553,30
39187,22
126055,64
134125,39
67299,33
69957,40
56560,59
118604,46
94026,0
123921,52
81055,6
52721,47
67274,32
126090,3
1122,8
31692,37
83450,29
104870,43
120442,34
78420,1
37071,7
81564,22
117876,26
3222,12
88210,38
134215,28
31134,47
85258,31
25305,9
33233,54
19915,0
123320,50
37250,65
128844,0
96280,0
65444,24
66426,34
10413,48
37294,64
39271,35
155561,45
76374,69
166213,23
24627,0
79913,0
74925,0
7260,29
3393,10
14902,60
52845,45
145225,2
103336,28
90622,0
51806,53
27538,36
2908,10
51969,49
112583,1
168717,38
122725,51
47658,38
154217,50
31749,43
14371,59
32655,40
53655,48
140418,0
56083,0
127146,0
20831,0
147096,7
82161,16
113679,5
50418,33
122921,42
121371,38
33774,51
91146,49
67710,33
51016,35
95931,0
71137,41
75502,65
139212,0
153453,38
112028,0
172604,0
149271,21
129550,1
117113,31
111707,0
19393,25
41360,0
92912,66
153164,32
64428,23
3713,21
98811,25
61866,0
1189,5
59958,0
111430,0
119185,28
25367,14
166371,26
81054,7
92316,61
68310,41
149569,20
84536,32
59995,0
57974,77
21503,0
4900,26
6035,14
23533,0
79825,0
80178,0
37266,66
150622,27
83297,36
65996,28
158526,17
141608,1
121146,34
161411,9
111861,0
132361,18
31508,36
17765,5
101546,35
112674,1
39372,77
32257,45
46298,28
77076,0
76012,69
2504,22
114955,16
76452,83
350,0
10475,74
71279,36
67327,41
148277,21
13259,55
92826,67
150590,25
132683,17
130849,14
96635,0
171823,0
32549,48
64386,21
23329,0
104129,33
29656,48
66569,36
108342,53
17105,29
36168,7
23739,1
17125,18
79540,0
50562,39
66441,42
117823,24
46463,26
14340,55
69268,30
32939,47
99139,27
78942,0
115801,25
108845,0
62445,1
75102,58
5215,2
46354,23
163400,18
159471,0
165939,21
78786,0
141073,48
7953,39
53026,47
23689,0
120390,35
86712,35
113416,0
20090,77
102005,50
107698,0
48806,40
14826,57
64263,22
76533,21
15737,62
26205,12
4417,0
94956,0
133898,25
16797,63
160135,0
88515,49
119048,24
115382,19
76136,70
160668,1
74156,53
166595,21
77473,0
39327,45
16393,68
162933,12
108102,59
26941,35
13897,66
80386,0
114873,15
52113,44
47659,38
158766,0
170119,40
146475,8
136257,23
139370,47
129684,0
59369,0
104454,33
97592,12
114437,16
28659,4
56445,0
82618,25
91709,0
141532,0
5216,3
139003,41
4752,10
15215,54
3699,21
134613,27
104710,42
34548,52
62956,0
151832,29
140949,54
104386,34
15407,53
124110,0
123741,0
3442,0
42482,1
78219,0
23733,2
162506,8
26288,14
149016,25
120528,33
44160,4
12533,58
155408,43
163447,21
47220,32
61339,1
125110,0
57178,64
150105,24
121365,41
37640,75
147639,24
125843,61
102772,27
68663,35
32145,50
155699,49
125441,53
81412,19
130498,11
69176,34
39160,74
12339,68
66449,45
116266,20
154570,35
135421,47
114102,20
99589,29
139309,54
41016,0
112499,0
42272,0
147010,14
1682,5
73007,52
117187,30
75815,4
132142,23
48567,34
50994,46
54880,67
45756,18
150144,19
119263,36
132537,24
167128,24
121260,44
70892,36
35636,62
163076,12
44558,3
98210,18
67984,39
79542,0
159845,0
38175,7
76816,0
16949,24
136954,32
9288,67
35221,54
100651,29
111918,0
56704,58
62412,1
136158,28
121681,35
67865,36
66625,38
133712,23
119542,26
97604,8
129113,0
160115,0
168967,38
98436,15
51287,55
1934,5
31193,42
76796,0
55962,55
36658,63
45686,25
41369,0
156130,0
168378,26
101160,31
134413,26
45852,26
6201,14
173868,3
34291,53
40576,0
161284,4
272,0
75505,4
97118,2
44725,3
87988,38
124739,61
72860,55
64497,25
83361,30
159717,0
119226,24
72421,47
12041,44
57659,11
83056,22
1109,8
110798,1
108735,2
136783,30
3016,1
115393,22
42181,2
173151,57
60298,0
105241,37
62237,0
78379,0
109494,58
78049,0
106447,0
37703,5
76823,0
145491,1
156273,46
129656,0
146356,6
30256,38
66708,33
144343,1
158839,0
156576,0
112278,0
50208,42
172018,0
11842,46
16765,64
1398,0
8528,49
69262,35
141739,57
116655,25
101144,30
148948,26
146938,15
95882,0
36503,6
86523,47
124989,52
89808,43
168034,33
110832,0
124880,0
112524,0
112509,0
51154,38
118036,25
26869,27
158184,1
149963,28
115191,22
128892,0
166742,28
11477,64
134398,38
111225,0
26816,34
155028,50
132077,14
121973,47
14355,62
42163,0
116263,23
159628,0
138443,43
153379,30
75534,68
11883,66
108009,0
171516,0
62657,0
156859,49
10898,64
20765,0
94484,0
59561,0
53431,52
51917,40
12761,57
13494,60
5617,4
149319,24
118797,28
37507,0
143129,19
72186,43
115830,27
87790,35
124824,0
143221,0
111253,0
66701,35
122781,46
98438,11
10791,50
55238,0
13069,67
17148,68
24662,0
93158,62
9467,74
74762,57
85136,34
95351,0
162088,10
164536,20
31666,54
63097,1
128608,0
119034,25
152557,30
70848,39
89847,47
164008,23
15527,65
158454,0
513,8
20952,0
94232,0
108494,56
106992,51
36745,8
163325,15
37634,73
131227,18
23882,0
100024,26
37119,10
158699,72
69995,40
76247,10
33535,49
146068,5
15359,60
49908,44
134989,34
94692,0
139353,49
64753,17
34853,48
104051,36
74411,0
20235,0
17796,69
41059,2
17009,10
24516,0
120417,28
132367,24
130256,7
130481,13
135017,36
162967,12
144712,0
127753,3
105081,34
96972,0
166194,22
108095,0
159644,0
66232,39
26481,18
21872,0
62291,0
77819,2
92484,55
31267,39
164662,26
11616,57
169450,43
78081,0
171801,0
171054,0
10645,51
128914,0
72507,0
93238,67
8580,43
30283,34
138715,34
89290,38
161713,5
4979,12
114528,15
142427,65
42824,0
963,0
65983,35
9298,60
93955,2
6750,30
8270,67
138751,35
86584,34
58570,2
139286,1
101392,27
28565,0
7583,38
4739,11
138242,38
15121,60
132491,23
52026,42
118954,32
102736,34
93087,1
124406,53
121692,40
91888,54
37192,64
153666,39
94448,0
85009,30
151473,25
63941,21
122918,44
115926,23
69586,35
168021,26
58818,0
129027,0
30608,45
154780,45
150349,31
28047,36
117220,25
115420,21
117999,32
154888,44
124441,1
66210,28
140031,64
166758,26
21776,0
81653,13
89247,40
46308,22
137200,29
65707,5
45745,24
926,4
151177,26
166038,22
145972,8
51336,44
85266,36
71409,46
86822,35
98291,18
28114,32
98738,18
133728,25
11475,68
43531,0
138900,36
103543,38
36205,57
17519,13
80683,5
118563,26
71603,44
19561,33
62324,0
71065,45
123946,0
75671,6
101134,25
42173,0
30950,47
77386,2
12947,52
13566,50
114990,22
64537,23
141060,0
158506,14
107365,2
129204,0
47618,40
167078,23
22057,0
153899,37
140271,0
100432,38
114563,11
63385,4
128076,0
16816,13
1689,0
48364,41
2852,0
97340,6
109848,65
104168,32
35857,0
152796,26
36348,58
123822,65
101050,33
137486,34
54059,49
63700,18
103682,34
51615,34
141395,51
161830,12
21289,0
96735,0
104539,33
138554,39
146319,9
52373,48
159684,0
10245,56
52457,43
101620,34
153170,33
61070,0
33975,51
150048,25
64639,16
128736,3
108079,0
65393,20
76397,32
114591,16
82568,24
143752,0
57526,75
154130,31
25380,10
73822,61
18490,76
131173,9
73441,52
119603,28
166305,21
5087,25
5437,0
103193,35
14912,60
130933,10
31397,49
123119,51
26410,18
90623,53
55796,63
108542,55
113029,0
12734,59
168859,34
35223,61
157917,63
146600,9
103564,46
165970,23
128233,2
165809,25
74742,56
132462,23
139021,54
158658,15
31495,48
64797,21
66582,37
88446,39
28423,42
155276,46
116789,28
111602,0
141831,60
146163,14
147062,9
59684,0
167918,23
140982,0
82098,16
133191,29
122916,42
51404,37
134090,27
112009,0
77904,0
69179,41
100595,27
30947,44
102917,39
95641,0
145535,0
1888,9
137121,34
119920,28
130508,9
166774,20
5071,35
878,14
17902,71
172145,51
108450,63
173856,0
150857,20
116402,20
35157,59
72208,40
146360,9
50043,40
18849,7
23136,7
170082,0
122209,36
6540,22
100714,37
103360,26
53717,45
71006,44
40336,0
134388,28
65142,30
65914,33
161431,10
90822,54
88513,50
139074,0
37534,70
148935,23
35750,67
170120,0
97817,12
35794,49
105440,35
93748,74
166431,26
77429,7
100923,33
6702,33
76434,82
139238,0
117909,25
41495,0
13542,54
37653,7
118466,31
60790,0
47399,26
122384,45
69537,39
120828,48
81071,8
166954,29
6095,25
12498,59
34049,45
80915,7
72245,43
88021,33
152710,47
136569,32
148527,18
20475,0
25481,8
153444,41
154922,35
115263,13
46498,19
72868,54
157500,0
102804,31
18526,80
107168,3
127952,0
108332,52
122390,52
119656,39
147873,18
131169,9
106516,43
17253,10
90783,0
172192,0
16250,59
149928,22
54778,50
2721,1
16045,16
135659,25
30121,38
164821,23
121760,41
82932,27
110407,0
114592,11
101652,29
83865,28
14424,67
18886,76
78008,17
13452,46
172613,57
111618,0
156589,47
108594,58
34925,47
32117,43
33,0
170084,0
167314,40
94137,1
141342,2
146723,6
144633,0
42010,0
82595,24
6610,13
51677,46
115195,18
53263,60
101021,27
167379,49
22648,0
147597,11
107451,0
128243,0
29286,44
33098,48
142042,0
50348,48
132444,22
23643,0
114228,11
15621,59
133593,32
10020,52
146368,23
133383,26
42266,0
167549,31
52083,38
26391,17
79470,1
55692,65
63432,4
15777,65
100879,29
113079,0
116593,33
71824,40
139572,0
15113,59
71738,48
110124,3
123640,1
4543,0
89127,43
31931,49
97388,4
82366,16
108481,1
91982,65
121422,38
159853,0
64154,22
139264,0
137001,45
142464,0
38837,21
126429,64
25582,8
127586,0
112960,0
119763,32
106429,0
146202,11
118619,24
89884,51
106271,43
16018,61
74061,0
146879,16
17222,66
159872,0
11096,67
93689,27
45464,21
9276,68
125919,66
137097,30
23137,9
123977,50
161246,3
168497,40
9023,48
21958,9
104048,48
59366,0
10542,61
83786,33
40864,0
145686,0
35758,54
35533,4
111320,0
148877,24
47978,36
4598,0
8180,37
11063,78
2996,3
84987,28
88117,35
48250,35
131643,14
168952,38
56253,0
186,0
38410,67
35095,49
154221,40
5743,15
114184,14
11176,51
121912,46
143512,0
139215,50
100008,26
103723,37
17849,12
151724,30
164610,24
27107,26
138438,36
162566,10
121125,39
155209,38
48141,39
102349,38
29588,44
90064,50
132258,18
80825,5
43245,0
160715,0
32582,45
166411,27
151753,22
113231,0
109773,2
98454,25
154235,36
138912,40
144617,0
163009,18
79097,0
57641,5
83799,30
17308,72
140620,0
83134,32
143062,19
160616,0
160865,0
37774,60
47707,39
99510,27
102006,31
62440,1
4537,0
45758,19
21038,0
6660,13
149704,17
55208,0
46762,24
44026,0
83149,0
78225,0
61773,2
124256,0
147514,15
5908,24
123250,2
53066,48
61008,0
99029,21
112554,0
11791,54
117822,35
18366,67
148175,21
122889,49
114837,15
52178,42
75515,4
99388,21
32517,38
45895,26
80148,1
161626,9
11935,62
85503,29
157836,3
133022,32
94761,0
156135,48
121440,36
145581,0
94789,0
11976,55
121533,39
28528,49
59931,0
67737,38
7383,39
15780,67
69985,36
112415,0
107350,49
127756,0
58766,0
138941,41
51008,34
150808,25
104072,29
38527,7
99119,18
173464,0
157573,62
146442,9
71690,41
5393,5
87571,41
2713,0
99676,35
168208,32
15345,61
82918,24
78993,0
166647,30
87724,39
54228,47
22669,0
55819,16
150649,33
41212,0
91735,0
109862,66
108284,48
102375,35
90108,50
122683,53
25248,8
104317,30
70051,38
139669,48
15829,57
25725,4
82627,24
158742,0
60535,1
172512,0
58143,19
145901,1
71926,50
49479,37
86529,37
99719,39
123716,53
46171,21
43198,0
140195,0
68816,34
92328,55
65730,40
36096,5
78124,0
23077,0
83476,21
43006,0
133043,26
82982,27
3170,14
107722,51
158935,0
115743,29
118260,22
32075,41
142618,3
117167,40
28385,41
35451,6
39382,76
90579,2
67898,45
126850,0
141097,48
96157,0
25831,8
170134,0
71900,42
172707,52
125051,51
173847,64
155737,2
128358,0
94684,0
122995,45
115325,19
18828,66
88732,53
119093,24
45455,21
28652,40
75026,64
167480,26
137471,30
70433,36
147342,13
82853,23
79052,0
80871,3
80651,0
107689,58
174265,0
152788,27
171897,3
140513,62
173687,62
48369,41
37414,64
44992,7
156037,56
125876,0
85307,34
67575,33
150982,23
16190,65
71883,41
106161,52
122301,42
112969,2
109428,61
57001,0
154020,33
172420,0
167256,23
28665,2
37898,63
120662,45
28030,35
7033,23
13535,53
60758,0
15422,53
110838,0
169862,34
170727,45
142252,0
144614,0
29354,49
44581,2
34760,59
119375,25
169408,34
84779,31
166657,21
107736,50
62549,3
149583,22
14279,73
150058,27
171973,1
152627,26
115970,27
101148,32
39153,23
55095,54
110173,0
51028,35
119244,31
126297,72
36665,18
142808,0
152154,54
41484,0
12545,53
75782,67
146531,12
171805,0
43610,0
50146,44
42938,0
54618,57
17209,9
123992,0
65250,26
159426,0
143515,0
173158,0
2152,0
156243,45
105349,36
77284,0
96559,0
2494,25
138615,34
34396,56
23142,9
110810,1
38104,71
123471,0
6279,26
87478,30
63547,8
141838,1
137969,36
51006,33
99907,21
35188,56
121857,45
147990,21
103225,28
107730,53
47629,6
141614,0
109921,25
15229,62
145351,0
12479,73
152962,29
163983,18
120806,30
32832,52
41119,0
87443,31
133110,23
126496,15
135991,28
136874,29
30596,47
102644,25
32971,44
112439,0
159032,0
146569,13
160690,0
66400,31
40350,0
168458,34
50609,32
37679,7
86360,28
44821,0
80897,9
85513,31
116463,42
122376,39
168572,29
106031,36
137165,33
173806,5
170469,35
140923,0
85064,43
14708,76
93249,7
167968,35
102536,29
28278,31
152772,34
172335,51
156283,45
49426,32
111518,0
19221,20
40368,0
130179,9
130068,10
134490,42
108923,0
165948,45
120458,35
41196,0
57160,68
31889,39
88206,37
9220,54
62753,0
6172,13
9582,52
106007,41
75509,4
119406,36
44309,5
130991,23
159340,0
75230,57
92762,58
86701,37
73175,0
167489,30
8008,40
86464,28
141080,0
67112,36
165766,19
3621,0
129737,1
20466,1
11321,56
115628,20
100425,31
34776,49
140097,46
82891,28
28050,36
19031,12
171490,0
111166,0
164724,24
153841,34
4587,0
80336,1
74428,53
142310,0
30910,43
129978,5
169751,30
163644,23
146659,9
76263,6
113382,0
143430,0
121828,38
12172,65
21837,0
140908,53
54996,57
158680,19
88220,61
57877,19
138457,43
151042,30
83830,31
130312,8
43462,0
46159,29
149625,22
151178,22
144287,0
20689,1
102139,28
65606,28
111053,0
145064,1
119663,28
79621,0
73142,62
122861,53
16593,12
41802,0
152998,33
134075,24
42087,0
15557,60
78029,0
158805,0
68732,32
73499,0
103260,27
128478,1
84904,31
156232,0
64294,18
76316,67
30605,41
95690,0
118054,30
78388,0
85864,34
173261,58
143543,0
135267,22
93696,74
98144,16
18812,66
92202,59
96456,0
116847,26
16367,66
23211,4
160203,1
70116,58
70171,37
173547,58
152559,32
46491,21
141631,59
3683,33
162705,12
20467,2
117588,28
45482,23
75768,62
7592,43
12656,51
24702,0
93792,79
68429,36
83643,32
164331,20
39823,0
146606,12
164949,19
58080,75
76412,74
91799,0
125121,53
171874,46
18411,15
161138,1
93827,19
95151,3
117452,27
75835,6
128495,0
3414,0
19048,70
14461,61
47994,39
173273,59
99046,17
2609,15
90613,64
57929,21
37684,64
43078,0
82947,20
128354,0
8284,60
24629,0
93764,74
72840,54
125463,55
130113,5
170393,40
94423,0
51266,56
82125,17
149050,24
172447,54
142738,0
173252,0
103539,28
41109,0
44045,5
82332,20
29919,41
17417,4
155410,43
47222,27
61972,0
136175,37
136150,24
131905,14
28350,49
144089,0
126767,69
115813,27
48062,35
49069,42
132666,30
129854,0
157346,0
7469,62
76288,72
108823,0
40034,0
64536,21
99063,21
168923,36
53627,41
141682,2
111384,0
127579,0
87820,32
323,0
40561,0
40899,0
22527,16
43133,0
69663,30
172122,0
133598,39
48605,43
79984,0
64371,20
148524,18
17144,64
47808,35
146402,15
167097,26
168759,29
152337,28
145886,0
90850,56
44015,0
62077,0
76142,81
70273,36
15054,51
174369,0
5670,45
107683,56
15818,57
43343,0
156607,52
51607,42
72707,7
63433,6
157027,49
97874,11
48882,45
58078,72
143344,0
153970,33
89810,44
93812,72
100013,28
32523,47
40201,0
16925,25
20733,0
143038,17
138185,44
117525,34
135794,40
76627,7
16345,62
104286,34
142948,20
115786,26
97815,16
154949,47
77861,0
73734,62
55707,0
65962,35
102774,29
131035,9
99141,20
112981,0
103784,31
8199,31
170645,45
157281,53
148717,22
9776,52
111962,0
124119,55
91227,0
167071,31
99474,16
79288,0
164962,19
84066,29
94664,3
14575,55
32113,37
56082,63
1749,0
61502,0
101716,35
59819,1
56392,58
63331,7
91993,0
25748,7
83182,36
158959,0
73411,60
117561,30
146931,12
136988,30
11954,53
20894,0
98195,17
60755,0
57579,4
65797,0
2319,3
156281,63
135519,28
50846,37
15267,78
111437,0
76806,0
92735,2
21243,0
143234,0
18475,26
141989,57
100085,28
23456,0
37800,66
48884,40
83561,34
79469,0
81334,13
28720,53
21092,0
85893,30
95912,2
34126,63
85126,32
121065,31
143292,0
114327,11
150769,29
173138,0
144346,0
103023,29
64543,18
25962,12
98274,18
60160,1
65118,39
95606,0
166383,23
76793,0
54298,62
157437,54
3448,6
1260,0
83016,22
11558,53
156062,0
141317,53
152321,38
163395,22
134105,25
144449,0
5866,37
67908,34
11361,59
1772,0
6705,41
31784,45
168573,28
140476,3
16899,21
134870,22
96510,0
55184,0
80507,0
87444,33
8422,40
90937,0
117292,30
41906,0
135927,51
171188,0
56337,2
66328,33
138618,35
155119,6
31324,42
157460,0
141150,0
140295,0
148830,26
135645,22
117688,29
142620,0
72979,49
140308,60
20972,0
55332,62
140837,1
91613,0
80287,0
169582,35
3426,0
84907,36
171539,44
128615,0
72748,52
59872,0
39677,0
18543,13
51760,46
13212,54
164296,26
137400,34
74605,0
55289,0
97397,7
44097,11
123703,0
22718,0
53710,44
31287,50
78666,0
84230,32
84296,34
94519,0
72888,55
96029,0
22988,1
136739,39
133656,23
173624,0
85506,34
122701,52
166092,33
12817,50
27516,21
129116,0
125284,0
56647,6
112040,0
70980,47
117044,22
72460,49
100255,24
132005,19
66890,32
98364,17
153673,30
169065,47
163843,25
116825,32
31958,53
132110,28
129164,0
169551,36
156760,1
134265,28
148938,19
95348,0
168554,27
49859,44
106724,41
15653,50
23219,0
126113,68
90916,56
91801,0
118455,25
20370,2
43411,0
68941,45
62042,1
150212,25
92706,56
36796,58
50868,36
135483,22
45988,23
60712,0
54275,12
10116,58
68032,37
4451,0
165581,26
68970,35
66659,33
38543,8
13951,55
150844,20
147102,9
59758,0
60602,0
154415,44
6939,31
143982,0
141884,0
35032,51
90944,67
134683,33
28006,34
35396,59
43801,0
128009,0
171835,0
140156,49
55927,1
68989,33
71390,51
168747,48
36873,7
9869,77
62309,0
46544,24
139914,45
69085,30
94224,0
12615,47
37133,0
118855,24
164385,18
109714,64
95033,0
31009,42
79073,2
64331,22
142872,0
153063,35
73646,55
102448,39
146667,9
170037,39
163295,23
86972,28
112759,3
22598,9
155905,54
119994,32
173350,0
167240,24
37347,1
56041,10
129488,0
50915,35
17590,70
98491,18
5554,15
1799,0
152576,30
110328,1
165314,20
42743,0
5827,13
92030,53
158503,67
2018,0
156554,0
101532,28
85722,30
161732,6
68473,31
140218,46
101504,35
173439,61
79885,0
71572,40
124950,1
158080,0
69081,33
16337,67
47414,26
66494,28
148575,19
62664,0
59300,1
12490,60
155738,56
48356,45
112654,0
105177,40
27863,43
149511,24
7960,38
91262,56
134667,31
126665,74
91727,0
56524,64
74346,52
146897,12
44410,6
132134,15
30139,46
44682,7
15837,52
132365,26
113477,7
48163,34
18120,75
41692,0
109917,18
120638,30
151997,26
26528,32
3918,6
102864,26
64928,24
114758,21
23273,2
16307,70
158068,0
66339,35
90961,2
110653,0
135156,22
53078,49
3215,12
129402,0
19297,29
23131,8
15140,56
80958,9
82588,18
3493,9
63557,14
67671,31
172352,1
145704,0
35528,62
165705,26
32636,49
76931,2
49672,40
133447,32
39594,2
123835,4
113,1
158800,0
29121,34
57639,5
91532,52
66568,40
131229,9
78773,0
84060,28
149684,25
128977,0
27380,31
79192,0
120678,31
142308,0
81717,18
32386,41
39484,0
74252,53
41087,0
70812,36
8295,54
43936,0
74844,62
66075,34
155681,47
146835,13
95634,0
36254,62
115901,29
153414,40
29751,49
72625,2
128,0
11177,54
162631,14
74247,0
64730,18
2436,0
5591,11
34332,55
33213,48
7398,38
27406,30
160142,0
800,2
102102,31
85099,31
173764,0
161820,8
22160,4
40092,0
136296,25
14144,54
14186,54
79042,0
48730,43
162915,13
297,0
172773,63
15239,60
62752,0
166819,25
98770,18
94615,0
84400,26
23734,0
116480,23
85139,35
149155,37
26867,30
81233,10
86138,28
163050,19
80423,0
135980,41
127041,0
80548,0
173488,3
71849,41
96037,0
156809,54
103282,28
153770,38
42502,0
82198,15
83355,28
119692,27
91905,0
110390,0
108979,23
114827,22
67681,33
63116,0
102577,33
89382,37
54893,0
166784,26
90188,52
97108,1
133817,23
26856,30
119787,28
122876,0
150292,21
34110,47
104436,33
12995,47
113110,0
101522,33
139206,0
147370,12
169258,51
107171,47
136461,32
5219,0
10003,52
106964,52
163312,20
120816,41
139140,0
14258,63
111676,0
120695,35
37063,9
151037,28
139253,47
96701,1
153026,30
137951,43
119533,30
72453,59
94993,0
53794,45
150985,23
13753,57
162762,18
38141,6
105661,35
14064,73
44684,8
143586,0
67337,36
63822,16
16243,4
150136,22
50052,50
41024,0
16655,11
33075,46
70252,38
62381,0
151380,30
144676,0
53609,52
18965,27
151743,21
106375,0
84422,53
100914,26
65562,36
109140,63
150538,23
143130,0
74077,0
157143,58
47186,30
80044,0
81198,13
106798,43
67700,36
6676,48
53727,47
88550,39
42899,0
172809,55
19107,30
115793,25
38403,6
149757,27
84116,47
81841,17
36776,57
137195,38
49254,42
163123,15
132591,19
106152,45
115392,13
40333,0
71989,42
116022,23
111150,0
10305,58
58127,19
161031,0
144511,0
6382,20
71430,45
168878,36
131442,29
137509,30
74303,0
50703,39
52315,39
116933,23
67123,45
123380,49
134145,36
47884,36
155908,7
61777,0
100249,23
45827,22
153235,41
118395,32
947,4
78951,3
116186,25
53515,48
28723,5
121171,54
71956,57
113016,0
53745,48
23873,0
72244,57
145576,0
30828,42
53347,51
100137,24
81474,13
157892,1
114401,15
163287,14
162119,9
111357,0
82704,22
1328,0
149743,20
59772,0
16200,64
138743,44
14907,64
97232,4
51668,66
95053,1
160039,0
95963,0
119822,31
73048,51
8864,78
39960,0
86774,44
84026,40
167863,26
73884,62
147022,13
148666,21
92925,0
135167,27
52665,44
54626,63
149055,20
167671,29
63366,6
32324,38
55870,63
17632,67
95147,0
31567,47
160596,0
64968,25
145628,0
31838,38
31099,44
85649,36
126266,1
170724,65
44680,7
164667,26
87126,61
38885,21
130164,9
70314,47
169895,37
14755,75
31681,45
138620,40
111658,1
